TerroristOrganization,ImageURL,Nationality
Abu Sayyaf Group (ASG),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Abu%20Sayyaf%20Group%20(ASG).jpg,Philippines
Algerian Islamic Extremists,https://upload.wikimedia.org/wikipedia/commons/thumb/7/77/Flag_of_Algeria.svg/320px-Flag_of_Algeria.svg.png,Algeria
Al-Qaida in Iraq,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/AQ-logo.svg.png,Iraq
Al-Qaida in the Arabian Peninsula (AQAP),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/AQ-logo.svg.png,Yemen
Baloch Republican Army (BRA),https://upload.wikimedia.org/wikipedia/commons/3/3b/Balochistan_Flag.svg,Pakistan
Bangsamoro Islamic Freedom Movement (BIFM),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/BIFM.svg,Philippines
Basque Fatherland and Freedom (ETA),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/ETA_BASQUE.svg,Spain
Chechen Rebels,https://upload.wikimedia.org/wikipedia/commons/1/13/Flag_of_the_Chechen_Republic.svg,Russia
Communist Party of India - Maoist (CPI-Maoist),https://upload.wikimedia.org/wikipedia/commons/0/04/Flag_of_PLGA.svg,India
Donetsk People's Republic,https://upload.wikimedia.org/wikipedia/commons/0/00/Flag_of_the_Donetsk_Republic_%28Organisation%29.svg,Ukraine
Fulani extremists,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Fulani.jpg,West Africa
Hamas (Islamic Resistance Movement),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Hamas.png,Palestine
Houthi extremists (Ansar Allah),https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Houthi_flag.svg/320px-Houthi_flag.svg.png,Yemen
Islamic State of Iraq and the Levant (ISIL / ISIS),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/ISIS-logo.png,Iraq & Syria
Khorasan Chapter of the Islamic State,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/ISIS-logo.png,Afghanistan 
Liberation Tigers of Tamil Eelam (LTTE),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/LTTE-logo.svg.png,Sri Lanka
Maoists,https://upload.wikimedia.org/wikipedia/commons/7/75/Maoist_Communist_Party.png,India
Moro Islamic Liberation Front (MILF),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/MILf.png,Philippines
National Liberation Army of Colombia (ELN),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/ELN.png,Colombia
New People's Army (NPA),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/NPA.jpg,Philippines
Palestinian Extremists,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Hamas.png,Israel
Revolutionary Armed Forces of Colombia (FARC),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/FARC-logo.svg.png,Colombia
Sinai Province of the Islamic State,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Islamic_State_flag.svg/1280px-Islamic_State_flag.svg.png,Egypt 
Tripoli Province of the Islamic State,https://upload.wikimedia.org/wikipedia/commons/thumb/5/58/Islamic_State_flag.svg/1280px-Islamic_State_flag.svg.png,Libya
United Liberation Front of Assam (ULFA),https://upload.wikimedia.org/wikipedia/commons/d/d2/Flag_of_United_Liberation_Fronhttps://upload.wikimedia.org/wikipedia/commons/d/d2/Flag_of_United_Liberation_Front_of_Asom.svg,India
Taliban,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Taliban.png,Afghanistan 
Shining Path (SL),https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/SL-logo.jpg,Peru
Hezobollah,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Hezbollah-logo.jpeg,Lebanon
Boko Haram,https://raw.githubusercontent.com/ajaygangwar945/Global-Terrorism-Analysis/main/images/Boko-Haram-logo.png,Nigeria
